Species	Group	TaxID	Source
Cirrula_hians	Metazoa	1577616	accession_api
Citrus_sinensis	angiosperms	2711	accession_api
Citrus_x_aurantiifolia	angiosperms	159033	accession_api
Citrus_x_changshan-huyou	angiosperms	2935761	accession_api
Citrus_x_changshanhuyou	angiosperms	2935761	accession_api
Citrus_x_clementina	angiosperms	85681	accession_api
Cladobotryum_mycophilum	Fungi	491253	accession_api
Cladochytrium_replicatum	Fungi	109936	accession_api
Cladochytrium_tenue	Fungi	1604274	accession_api
Cladocopium_goreaui	Protists	2562237	accession_api
Cladonia_borealis	Fungi	184061	accession_api
Cladophialophora_bantiana_CBS_173.52	Fungi	1442370	accession_api
Cladophialophora_carrionii_CBS_160.54	Fungi	1279043	accession_api
Cladophialophora_chaetospira	Fungi	386627	accession_api
Cladophialophora_humicola	Fungi	1307819	accession_api
Cladophialophora_immunda	Fungi	569365	accession_api
Cladophialophora_minutissima	Fungi	408822	accession_api
Cladophialophora_psammophila_CBS_110553	Fungi	1182543	accession_api
Cladophialophora_sylvestris	Fungi	1608269	accession_api
Cladophialophora_yegresii_CBS_114405	Fungi	1182544	accession_api
Cladorrhinum_samala	Fungi	585594	accession_api
Cladosporium_allicinum	Fungi	1338630	accession_api
Cladosporium_fusiforme	Fungi	1052093	accession_api
Cladosporium_halotolerans	Fungi	1052096	accession_api
Cladosporium_inversicolor	Fungi	887095	accession_api
Clarias_magur	Metazoa	1594786	accession_api
Clarireedia_jacksonii	Fungi	2036908	accession_api
Clathrospora_elynae	Fungi	706981	accession_api
Clathrus_columnatus	Fungi	1419009	accession_api
Claviceps_africana	Fungi	83212	accession_api
Claviceps_arundinis	Fungi	1623583	accession_api
Claviceps_capensis	Fungi	1649128	accession_api
Claviceps_citrina	Fungi	62069	accession_api
Claviceps_cyperi	Fungi	247652	accession_api
Claviceps_digitariae	Fungi	254901	accession_api
Claviceps_humidiphila	Fungi	1294629	accession_api
Claviceps_lovelessii	Fungi	1806559	accession_api
Claviceps_maximensis	Fungi	89174	accession_api
Claviceps_monticola	Fungi	1649129	accession_api
Claviceps_pazoutovae	Fungi	1649127	accession_api
Claviceps_pusilla	Fungi	123648	accession_api
Claviceps_sorghi	Fungi	96774	accession_api
Claviceps_spartinae	Fungi	1294630	accession_api
Clavispora_lusitaniae	Fungi	36911	accession_api
Clinopodes_flavidus	Metazoa	511797	metazoa_metadata
Clione_antarctica	Metazoa	672780	metazoa_metadata
Clithon_retropictum	Metazoa	2094009	metazoa_metadata
Cloeon_dipterum	Metazoa	197152	accession_api
Clohesyomyces_aquaticus	Fungi	1231657	accession_api
Clonostachys_byssicola	Fungi	160290	accession_api
Clonostachys_chloroleuca	Fungi	1926264	accession_api
Clonostachys_solani	Fungi	160281	accession_api
Clydaea_vesicula	Fungi	447962	accession_api
Coccidioides_immitis_RS	Fungi	246410	accession_api
Coccidioides_posadasii_str._Silveira	Fungi	443226	accession_api
Coccomyxa_elongata	chlorophyta	1965095	accession_api
Coccomyxa_subellipsoidea	chlorophyta	574566	accession_api
Coccomyxa_viridis	chlorophyta	1274662	accession_api
Cocculina_japonica	Metazoa	2905118	metazoa_metadata
Codosiga_hollandica	Protists	1742608	name_search_full_name
Coelomomyces_lativittatus	Fungi	945690	accession_api
Coemansia_aciculifera	Fungi	417176	accession_api
Coemansia_asiatica	Fungi	1052880	accession_api
Coemansia_biformis	Fungi	1286918	accession_api
Coemansia_brasiliensis	Fungi	2650707	accession_api
Coemansia_erecta	Fungi	147472	accession_api
Coemansia_furcata	Fungi	417177	accession_api
Coemansia_guatemalensis	Fungi	2761395	accession_api
Coemansia_helicoidea	Fungi	1286919	accession_api
Coemansia_interrupta	Fungi	1126814	accession_api
Coemansia_javaensis	Fungi	2761396	accession_api
Coemansia_linderi	Fungi	2663919	accession_api
Coemansia_mojavensis	Fungi	4864	accession_api
Coemansia_nantahalensis	Fungi	2789366	accession_api
Coemansia_pectinata	Fungi	1052879	accession_api
Coemansia_reversa_NRRL_1564	Fungi	763665	accession_api
Coemansia_spiralis	Fungi	417178	accession_api
Coemansia_thaxteri	Fungi	2663907	accession_api
Coemansia_umbellata	Fungi	1424467	accession_api
Coenobita_clypeatus	Metazoa	474045	metazoa_metadata
Coffea_arabica	angiosperms	13443	accession_api
Coffea_eugenioides	angiosperms	49369	accession_api
Cokeromyces_recurvatus	Fungi	90255	accession_api
Coleophoma_crateriformis	Fungi	565419	accession_api
Coleophoma_cylindrospora	Fungi	1849047	accession_api
Colletotrichum_abscissum	Fungi	1671311	accession_api
Colletotrichum_acutatum	Fungi	27357	accession_api
Colletotrichum_aenigma	Fungi	1215731	accession_api
Colletotrichum_caudatum	Fungi	5460	accession_api
Colletotrichum_chlorophyti	Fungi	708187	accession_api
Colletotrichum_chrysophilum	Fungi	1836956	accession_api
Colletotrichum_costaricense	Fungi	1209916	accession_api
Colletotrichum_cuscutae	Fungi	1209917	accession_api
Colletotrichum_destructivum	Fungi	34406	accession_api
Colletotrichum_eremochloae	Fungi	1173702	accession_api
Colletotrichum_filicis	Fungi	2940390	accession_api
Colletotrichum_fioriniae	Fungi	710243	accession_api
Colletotrichum_fructicola_Nara_gc5	Fungi	1213859	accession_api
Colletotrichum_gloeosporioides	Fungi	474922	accession_api
Colletotrichum_godetiae	Fungi	1209918	accession_api
Colletotrichum_graminicola_M1.001	Fungi	645133	accession_api
Colletotrichum_higginsianum_IMI_349063	Fungi	759273	accession_api
Colletotrichum_incanum	Fungi	1573173	accession_api
Colletotrichum_jinshuiense	Fungi	2283408	accession_api
Colletotrichum_kahawae	Fungi	34407	accession_api
Colletotrichum_karsti	Fungi	1095194	accession_api
Colletotrichum_limetticola	Fungi	1209924	accession_api
Colletotrichum_liriopes	Fungi	708192	accession_api
Colletotrichum_lupini	Fungi	145971	accession_api
Colletotrichum_melonis	Fungi	1209925	accession_api
Colletotrichum_musicola	Fungi	2175873	accession_api
Colletotrichum_navitas	Fungi	681940	accession_api
Colletotrichum_noveboracense	Fungi	2664923	accession_api
Colletotrichum_nupharicola	Fungi	1215361	accession_api
Colletotrichum_orbiculare_MAFF_240422	Fungi	1213857	accession_api
Colletotrichum_orchidophilum	Fungi	1209926	accession_api
Colletotrichum_paranaense	Fungi	1914294	accession_api
Colletotrichum_phormii	Fungi	359342	accession_api
Colletotrichum_plurivorum	Fungi	2175906	accession_api
Colletotrichum_salicis	Fungi	1209931	accession_api
Colletotrichum_scovillei	Fungi	1209932	accession_api
Colletotrichum_shisoi	Fungi	2078593	accession_api
Colletotrichum_siamense	Fungi	690259	accession_api
Colletotrichum_sidae	Fungi	1347389	accession_api
Colletotrichum_simmondsii	Fungi	703756	accession_api
Colletotrichum_sojae	Fungi	2175907	accession_api
Colletotrichum_somersetense	Fungi	1500509	accession_api
Colletotrichum_spaethianum	Fungi	700344	accession_api
Colletotrichum_spinosum	Fungi	1347390	accession_api
Colletotrichum_tabaci	Fungi	1209068	accession_api
Colletotrichum_tamarilloi	Fungi	1209934	accession_api
Colletotrichum_tanaceti	Fungi	1306861	accession_api
Colletotrichum_tofieldiae	Fungi	708197	accession_api
Colletotrichum_trifolii	Fungi	5466	accession_api
Colletotrichum_truncatum	Fungi	5467	accession_api
Colletotrichum_zoysiae	Fungi	1216348	accession_api
Collybia_nuda	Fungi	64659	accession_api
Collybiopsis_confluens	Fungi	2823264	accession_api
Collybiopsis_luxurians_FD-317_M1	Fungi	944289	name_search_full_name
Collybiopsis_luxurians_FD317_M1	Fungi	944289	accession_api
Compsopogon_caeruleus	Rhodophyta	31354	name_search_full_name
Conglomerata_obtusa	Fungi	2483382	accession_api
Coniella_lustricola	Fungi	2025994	accession_api
Coniferiporia_weirii	Fungi	135589	accession_api
Coniocarpon_cinnabarinum	Fungi	1542792	accession_api
Coniochaeta_hoffmannii	Fungi	91930	accession_api
Coniochaeta_ligniaria_NRRL_30616	Fungi	1408157	accession_api
Coniochaeta_pulveracea	Fungi	177199	accession_api
Coniophora_puteana_RWD-64-598_SS2	Fungi	741705	name_search_full_name
Coniophora_puteana_RWD64598_SS2	Fungi	741705	accession_api
Coniosporium_apollinis_CBS_100218	Fungi	1168221	accession_api
Coniosporium_tulheliwenetii	Fungi	3383036	accession_api
Coniosporium_uncinatum	Fungi	93489	accession_api
Conoideocrella_luteorostrata	Fungi	1105319	accession_api
Conticribra_weissflogii	Protists	1577725	accession_api
Convoluta_(Praesagittifera)_naikaiensis	Metazoa	31270	metazoa_metadata
Coprinellus_aureogranulatus	Fungi	752674	accession_api
Coprinopsis_cinerea	Metazoa	240176	accession_api
Coprinopsis_cinerea_okayama7#130	Fungi	240176	accession_api
Coprinopsis_marcescibilis	Fungi	230819	accession_api
Coptis_chinensis	angiosperms	261450	accession_api
Corallochytrium_limacisporum	Protists	98351	accession_api
Corchorus_capsularis	angiosperms	210143	accession_api
Corchorus_olitorius	angiosperms	93759	accession_api
Cordulegaster_boltonii	Metazoa	126173	accession_api
Cordyceps_cateniannulata	Fungi	983339	accession_api
Cordyceps_fumosorosea_ARSEF_2679	Fungi	1081104	accession_api
Cordyceps_javanica	Fungi	43265	accession_api
Cordyceps_militaris_CM01	Fungi	983644	accession_api
Cornu_aspersum	Metazoa	6535	accession_api
Cornus_florida	angiosperms	4283	accession_api
Corydalus_cornutus	Metazoa	559164	metazoa_metadata
Corylus_avellana	angiosperms	13451	accession_api
Corymbia_citriodora	angiosperms	360336	accession_api
Corynascus_novoguineensis	Fungi	1126955	accession_api
Corynascus_sepedonium	Fungi	190048	accession_api
Corynascus_similis_CBS_632.67	Fungi	1403191	accession_api
Costasiella_nonatoi_-_Panderevela_nonatoi	Metazoa	698695	metazoa_metadata
Costasiella_ocellifera	Metazoa	380564	accession_api
Costasiella_sp.1	Metazoa	380564	accession_api
Craigia_yunnanensis	angiosperms	197121	accession_api
Craspedida_sp_UC1	Protists	2812018	name_search_binomial_fallback
Craspedosoma_sp._AD-2016	Metazoa	1820136	metazoa_metadata
Crassisporium_funariophilum	Fungi	1954473	accession_api
Crassostrea_virginica	Metazoa	6565	accession_api
Craterostigmus_tasmanianus	Metazoa	60162	metazoa_metadata
Creolimax_fragrantissima	Protists	470921	accession_api
Crepidotus_variabilis	Fungi	179855	accession_api
Crepidula_navicella	Metazoa	1707815	metazoa_metadata
Cristaphyes_yushini	Metazoa	2835549	metazoa_metadata
Cristaria_plicata	Metazoa	165446	metazoa_metadata
Cristatella_mucedo	Metazoa	67896	accession_api
Cristinia_sonorae	Fungi	1940300	accession_api
Crocodylus_porosus	Metazoa	8502	accession_api
Cronartium_quercuum_f._sp._fusiforme_G11	Fungi	708437	accession_api
Crotalaria_pallida	angiosperms	3830	accession_api
Crucibulum_laeve	Fungi	68775	accession_api
Cryoendolithus_antarcticus	Fungi	1507870	accession_api
Cryomyces_antarcticus	Fungi	329879	accession_api
Cryomyces_minteri	Fungi	331657	accession_api
Cryphonectria_parasitica_EP155	Fungi	660469	accession_api
Cryptocellus_becki	Metazoa	1642531	metazoa_metadata
Cryptocellus_sp._n._RF-2015	Metazoa	1643398	metazoa_metadata
Cryptococcus_amylolentus_CBS_6039	Fungi	1295533	accession_api
Cryptococcus_bacillisporus_CA1280	Fungi	1296109	accession_api
Cryptococcus_decagattii	Fungi	1859122	accession_api
Cryptococcus_deneoformans_JEC21	Fungi	214684	accession_api
Cryptococcus_depauperatus_CBS_7841	Fungi	1295531	accession_api
Cryptococcus_deuterogattii_R265	Fungi	294750	accession_api
Cryptococcus_gattii_WM276	Fungi	367775	accession_api
Cryptococcus_neoformans_H99	Fungi	235443	accession_api
Cryptococcus_tetragattii_IND107	Fungi	1296105	accession_api
Cryptococcus_wingfieldii_CBS_7118	Fungi	1295528	accession_api
Cryptomeria_japonica	gymnosperms	3369	accession_api
Cryptoplax_larvaeformis	Metazoa	2732484	metazoa_metadata
Cryptops_anomalans	Metazoa	1418174	metazoa_metadata
Cryptops_hortensis	Metazoa	1268897	metazoa_metadata
Cryptosporidium_andersoni	Protists	117008	accession_api
Cryptosporidium_bovis	Protists	310047	accession_api
Cryptosporidium_canis	Protists	195482	accession_api
Cryptosporidium_felis	Protists	83540	accession_api
Cryptosporidium_hominis_TU502	Protists	353151	accession_api
Cryptosporidium_meleagridis	Protists	93969	accession_api
Cryptosporidium_muris_RN66	Protists	441375	accession_api
Cryptosporidium_parvum_Iowa_II	Protists	353152	accession_api
Cryptosporidium_proliferans	Protists	1729943	accession_api
Cryptosporidium_ryanae	Protists	515981	accession_api
Cryptosporidium_serpentis	Protists	83999	accession_api
Cryptosporidium_tyzzeri	Protists	756076	accession_api
Cryptosporidium_ubiquitum	Protists	857276	accession_api
Cryptosporidium_xiaoi	Protists	659607	accession_api
Cryptotermes_secundus	Metazoa	105785	accession_api
Cryptotrichosporon_argae	Fungi	1890679	accession_api
Ctenocephalides_felis	Metazoa	7515	accession_api
Ctenochauliodes_similis	Metazoa	1890692	metazoa_metadata
Cubamyces_lactineus	Fungi	1391043	accession_api
Cubamyces_menziesii	Fungi	2136021	accession_api
Cucumis_melo	angiosperms	3656	accession_api
Cucumis_sativus	angiosperms	3659	accession_api
Cucumispora_dikerogammari	Fungi	658444	accession_api
Cucurbita_argyrosperma	angiosperms	37648	accession_api
Cucurbita_maxima	angiosperms	3661	accession_api
Cucurbita_moschata	angiosperms	3662	accession_api
Cucurbita_pepo	angiosperms	3664	accession_api
Cucurbitaria_berberidis_CBS_394.84	Fungi	1168544	accession_api
Cudoniella_acicularis	Fungi	354080	accession_api
Cunninghamella_echinulata	Fungi	76405	accession_api
Curcuma_longa	angiosperms	136217	accession_api
Curvularia_kusanoi	Fungi	90978	accession_api
Cuscuta_australis	angiosperms	267555	accession_api
Cuscuta_europaea	angiosperms	41803	accession_api
Cutaneotrichosporon_cavernicola	Fungi	279322	accession_api
Cutaneotrichosporon_oleaginosum	Fungi	879819	accession_api
Cutaneotrichosporon_spelunceum	Fungi	1672016	accession_api
Cyanidiococcus_yangmingshanensis	Rhodophyta	2690220	accession_api
Cyanidioschyzon_merolae	Rhodophyta	45157	name_search_full_name
Cyanidioschyzon_merolae_strain_10D	Rhodophyta	280699	accession_api
Cyanidium_caldarium	Rhodophyta	2771	accession_api
Cyanoptyche_gloeocystis	Glaucophyta	77922	name_search_full_name
Cybella_gelanggi	Metazoa	2590503	metazoa_metadata
Cyberlindnera_jadinii_NRRL_Y-1542	Fungi	4903	name_search_full_name
Cyberlindnera_jadinii_NRRL_Y1542	Fungi	4903	accession_api
Cybister_japonicus	Metazoa	398594	metazoa_metadata
Cycas_panzhihuaensis	gymnosperms	123604	name_search_full_name
Cyclestheria_hislopi	Metazoa	77743	metazoa_metadata
Cyclocybe_aegerita	Fungi	1973307	accession_api
Cyclopterus_lumpus	Metazoa	8103	accession_api
Cyclospora_cayetanensis	Protists	88456	accession_api
Cyclostephanos_tholiformis	Protists	382380	accession_api
Cyclotella_atomus	Protists	382360	accession_api
Cyclotella_cryptica	Protists	29204	accession_api
Cyerce_aff._antillensis	Metazoa	483961	metazoa_metadata
Cylicobdellidae_sp._DSW-2020	Metazoa	2705382	metazoa_metadata
Cylindrobulla_beauii	Metazoa	431608	metazoa_metadata
Cylindrodendrum_hubeiense	Fungi	595255	accession_api
Cylindroiulus_sp._RF-2016	Metazoa	1816490	metazoa_metadata
Cylindroleberidinae_sp._MS-2016	Metazoa	1897137	metazoa_metadata
Cylindrotheca_closterium	Protists	2856	accession_api
Cymbomonas_tetramitiformis	chlorophyta	36881	accession_api
Cynara_cardunculus	angiosperms	59895	accession_api
Cyphellophora_attinorum	Fungi	1664694	accession_api
Cyphellophora_europaea_CBS_101466	Fungi	1220924	accession_api
Cyprideis_torosa	Metazoa	163714	metazoa_metadata
Cystobasidium_minutum_MCA_4210	Fungi	1397322	accession_api
Cystoisospora_suis	Protists	483139	accession_api
Cytidiella_melzeri	Fungi	1883072	accession_api
Cytospora_leucostoma	Fungi	1230097	accession_api
Cytospora_paraplurivora	Fungi	2898453	accession_api
Cytospora_schulzeri	Fungi	448051	accession_api
Dacryopinax_primogenitus	Fungi	1858805	accession_api
Dactylella_cylindrospora	Fungi	1814901	accession_api
Dactylonectria_estremocensis	Fungi	1079267	accession_api
Dactylonectria_macrodidyma	Fungi	307937	accession_api
Daedalea_quercina_L-15889	Fungi	1314783	name_search_full_name
Daedalea_quercina_L15889	Fungi	1314783	accession_api
Daedaleopsis_nitida	Fungi	1140402	accession_api
Daldinia_bambusicola	Fungi	326643	accession_api
Daldinia_caldariorum	Fungi	326644	accession_api
Daldinia_childiae	Fungi	326645	accession_api
Daldinia_decipiens	Fungi	326647	accession_api
Daldinia_eschscholtzii	Fungi	292717	accession_api
Daldinia_grandis	Fungi	103428	accession_api
Daldinia_loculata	Fungi	103429	accession_api
Daldinia_vernicosa	Fungi	114800	accession_api
Damon_sp._Maynooth	Metazoa	2508655	metazoa_metadata
Dampetrus_sp._RF-2017	Metazoa	1955546	metazoa_metadata
Danaus_plexippus_plexippus	Metazoa	278856	metazoa_metadata
Danio_rerio	Metazoa	7955	accession_api
Daphnia_magna	Metazoa	35525	accession_api
Darwinula_stevensoni	Metazoa	69355	accession_api
Datura_stramonium	angiosperms	4076	accession_api
Daucus_carota	angiosperms	79200	accession_api
Debaryomyces_fabryi	Fungi	58627	accession_api
Debaryomyces_hansenii_CBS767	Fungi	284592	accession_api
Debaryomyces_tyrocola	Fungi	522358	accession_api
Decorospora_gaudefroyi	Fungi	184978	accession_api
Deinandra_increscens	angiosperms	3103831	accession_api
Delaya_leruthi	Metazoa	1963245	metazoa_metadata
Delisea_pulchra	Rhodophyta	40385	accession_api
Delitschia_confertaspora_ATCC_74209	Fungi	1513339	accession_api
Delonix_regia	angiosperms	72433	accession_api
Delphinella_strobiligena	Fungi	147560	accession_api
Dendrobeania_fruticosa	Metazoa	2893298	metazoa_metadata
Dendrobium_catenatum	angiosperms	906689	accession_api
Dendrobium_chrysotoxum	angiosperms	161865	accession_api
Dendrobium_nobile	angiosperms	94219	accession_api
Dendrobium_thyrsiflorum	angiosperms	117978	accession_api
Dendrocalamus_sinicus	angiosperms	338490	accession_api
Dendrophyllia_cribrosa	Metazoa	1140371	accession_api
Dendrothele_bispora_CBS_962.96	Fungi	1314807	accession_api
Dendryphion_nanum	Fungi	256645	accession_api
Denticeps_clupeoides	Metazoa	299321	accession_api
Dentipellis_fragilis	Fungi	205917	accession_api
Dentiscutata_erythropus	Fungi	1348616	accession_api
Dentiscutata_heterogama	Fungi	1316150	accession_api
Dermacentor_andersoni	Metazoa	34620	accession_api
Dermanyssus_gallinae	Metazoa	34641	accession_api
Deroceras_reticulatum	Metazoa	145610	metazoa_metadata
Desarmillaria_ectypa	Fungi	47430	accession_api
Desarmillaria_tabescens	Fungi	1929756	accession_api
Diacronema_lutheri	Protists	2081491	accession_api
Diaphanoeca_grandis	Protists	28014	name_search_full_name
Diaporthe_amygdali	Fungi	1214568	accession_api
Diaporthe_batatas	Fungi	748121	accession_api
Diaporthe_citri	Fungi	83186	accession_api
Diaporthe_ilicicola	Fungi	2419934	accession_api
Diatrype_stigma	Fungi	117547	accession_api
Dichanthelium_oligosanthes	angiosperms	888268	accession_api
Dichomitus_squalens_LYAD-421_SS1	Fungi	732165	name_search_full_name
Dichomitus_squalens_LYAD421_SS1	Fungi	732165	accession_api
Dichotomocladium_elegans	Fungi	101130	accession_api
Dichotomopilus_funicola	Fungi	1934379	accession_api
Dictyocoela_muelleri	Fungi	279532	accession_api
Dictyocoela_roeselum	Fungi	288439	accession_api
Dicyemida_sp._4_KMK-2022	Metazoa	2969543	metazoa_metadata
Dicyemida_sp._5_KMK-2022	Metazoa	2969544	metazoa_metadata
Didymella_exigua_CBS_183.55	Fungi	1150837	accession_api
Didymella_heteroderae	Fungi	1769908	accession_api
Didymella_keratinophila	Fungi	2301244	accession_api
Didymella_pomorum	Fungi	749634	accession_api
Didymodactylos_carnosus	Metazoa	1234261	accession_api
Didymoeca_costata	Protists	459534	name_search_full_name
Didymosphaeria_variabile	Fungi	1932322	accession_api
Digitaria_exilis	angiosperms	1010633	accession_api
Dillenia_turbinata	angiosperms	194707	accession_api
Dimargaris_cristalligena	Fungi	215637	accession_api
Dimargaris_verticillata	Fungi	2761393	accession_api
Dimargaris_xerosporica	Fungi	2761399	accession_api
Dimorphilus_gyrociliatus	Metazoa	2664684	accession_api
Dinochytrium_kinnereticum	Fungi	1774096	accession_api
Dinothrombium_tinctorium	Metazoa	1965070	accession_api
Dionaea_muscipula	angiosperms	4362	accession_api
Diopisthoporus_longitubus	Metazoa	996724	metazoa_metadata
Dioscorea_cayenensis	angiosperms	55577	accession_api
Dioscorea_sansibarensis	angiosperms	55578	accession_api
Dioscorea_zingiberensis	angiosperms	325984	accession_api
Diospyros_lotus	angiosperms	55363	accession_api
Dioszegia_hungarica	Fungi	4972	accession_api
Diphasiastrum_complanatum	lycophytes	34168	accession_api
Diplocarpon_coronariae	Fungi	2795749	accession_api
Diplocarpon_mali	Fungi	946123	accession_api
Diplocarpon_rosae	Fungi	946125	accession_api
Diplodia_corticola	Fungi	236234	accession_api
Diplodia_intermedia	Fungi	856260	accession_api
Diplodia_sapinea	Fungi	66738	accession_api
Diplodia_seriata	Fungi	420778	accession_api
Diplodiscus_trichospermus	angiosperms	248822	accession_api
Diplogasteroides_magnus	Metazoa	560213	accession_api
Diplogelasinospora_grovesii	Fungi	303347	accession_api
Diploscapter_pachys	Metazoa	2018661	accession_api
Diploschistes_diacapsis	Fungi	150877	accession_api
Dipodascopsis_tothii	Fungi	44089	accession_api
Dipsacomyces_acuminosporus	Fungi	4866	accession_api
Dipteronia_dyeriana	angiosperms	168575	accession_api
Dipteronia_sinensis	angiosperms	43782	accession_api
Discosporangium_mesarthrocarpum	Protists	376270	accession_api
Discostella_pseudostelligera	Protists	259834	accession_api
Discula_destructiva	Fungi	148313	accession_api
Dispira_parvispora	Fungi	1520584	accession_api
Dispira_simplex	Fungi	2789359	accession_api
Dissoconium_aciculare_CBS_342.82	Fungi	1314786	accession_api
Dissophora_globulifera	Fungi	979702	accession_api
Dissophora_ornata	Fungi	979620	accession_api
Diurodrilus_subterraneus	Metazoa	1318637	metazoa_metadata
Diuronotus_aspetos	Metazoa	1681188	metazoa_metadata
Diutina_catenulata	Fungi	45537	accession_api
Diutina_rugosa	Fungi	5481	accession_api
Diversispora_eburnea	Fungi	1213867	accession_api
Diversispora_epigaea	Fungi	1348612	accession_api
Dorcoceras_hygrometricum	angiosperms	472368	accession_api
Dorylaimopsis_sp._T63	Metazoa	2879815	metazoa_metadata
Dothidotthia_symphoricarpi_CBS_119687	Fungi	1392245	accession_api
Dovyalis_caffra	angiosperms	77055	accession_api
Drawida_sp._KH-2017	Metazoa	1963188	metazoa_metadata
Drechmeria_coniospora	Fungi	98403	accession_api
Drechslerella_stenobrocha_248	Fungi	1043628	accession_api
Dreissena_rostriformis	Metazoa	427924	accession_api
Drepanopeziza_brunnea_f._sp._'multigermtubi'	Fungi	698441	accession_api
Dromaius_novaehollandiae	Metazoa	8790	accession_api
Dromiciops_gliroides	Metazoa	33562	accession_api
Drosera_capensis	angiosperms	4366	accession_api
Drosera_rotundifolia	angiosperms	173423	accession_api
Drosophila_melanogaster	Metazoa	7227	accession_api
Drosophila_pseudoobscura	Metazoa	7237	accession_api
Dugesia_japonica	Metazoa	6161	accession_api
Dugesia_ryukyuensis	Metazoa	79738	metazoa_metadata
Dunaliella_salina	chlorophyta	3046	accession_api
Durio_zibethinus	angiosperms	66656	accession_api
Durotheca_rogersii	Fungi	419775	accession_api
Durusdinium_trenchii	Protists	1381693	accession_api
Earliella_scabrosa	Fungi	2478900	accession_api
Echeneis_naucrates	Metazoa	173247	accession_api
Echiniscoides_sigismundi	Metazoa	500494	metazoa_metadata
Echiniscus_testudo	Metazoa	399800	metazoa_metadata
Echinoderes_ohtsukai	Metazoa	1755667	metazoa_metadata
Echinogammarus_berilloni	Metazoa	889313	metazoa_metadata
Echinoplana_celerrima	Metazoa	983673	metazoa_metadata
Echria_macrotheca	Fungi	438768	accession_api
Ectocarpus_fasciculatus	Protists	43935	accession_api
Ectocarpus_siliculosus	Protists	2880	accession_api
Ectopsocus_briggsi	Metazoa	322492	metazoa_metadata
Edaphochlamys_debaryana	chlorophyta	47281	accession_api
Edhazardia_aedis_USNM_41457	Fungi	1003232	accession_api
Eigenmannia_virescens	Metazoa	749526	metazoa_metadata
Eimeria_acervulina	Protists	5801	accession_api
Eimeria_brunetti	Protists	51314	accession_api
Eimeria_flavescens	Protists	471277	accession_api
Eimeria_intestinalis	Protists	471278	accession_api
Eimeria_magna	Protists	471282	accession_api
Eimeria_maxima	Protists	5804	accession_api
Eimeria_media	Protists	471279	accession_api
Eimeria_mitis	Protists	44415	accession_api
Eimeria_necatrix	Protists	51315	accession_api
Eimeria_stiedai	Protists	471275	accession_api
Eimeria_tenella	Protists	5802	accession_api
Eisenia_andrei	Metazoa	168636	metazoa_metadata
Elaeis_guineensis	angiosperms	51953	accession_api
Elaphomyces_granulatus	Fungi	519963	accession_api
Elasticomyces_elasticus	Fungi	574655	accession_api
Electrophorus_electricus	Metazoa	8005	accession_api
Eleusine_coracana	angiosperms	191504	accession_api
Eleutherodactylus_coqui	Metazoa	57060	accession_api
Elliptochloris_bilobata	chlorophyta	381761	accession_api
Ellobium_chinense	Metazoa	1628040	accession_api
Elsinoe_batatas	Fungi	2601811	accession_api
Elysia_chlorotica	Metazoa	188477	accession_api
Elysia_crispata	Metazoa	231223	accession_api
Elysia_hedgpethi	Metazoa	1522333	metazoa_metadata
Elysia_rufescens	Metazoa	380559	metazoa_metadata
Elysia_timida	Metazoa	154625	accession_api
Elysia_velutinus	Metazoa	2136272	metazoa_metadata
Emarellia_grisea	Fungi	1805848	accession_api
Emergomyces_africanus	Fungi	1955775	accession_api
Emergomyces_pasteurianus_Ep9510	Fungi	1447872	accession_api
Emericellopsis_atlantica	Fungi	2614577	accession_api
Emericellopsis_cladophorae	Fungi	2686198	accession_api
Emiliania_huxleyi_CCMP1516	Protists	280463	accession_api
Emydomyces_testavorans	Fungi	2070801	accession_api
Encephalitozoon_cuniculi_GB-M1	Fungi	284813	name_search_full_name
Encephalitozoon_cuniculi_GBM1	Fungi	284813	accession_api
Encephalitozoon_hellem_ATCC_50504	Fungi	907965	accession_api
Encephalitozoon_intestinalis_ATCC_50506	Fungi	876142	accession_api
Encephalitozoon_romaleae_SJ-2008	Fungi	1178016	name_search_full_name
Encephalitozoon_romaleae_SJ2008	Fungi	1178016	accession_api
Enchytraeus_crypticus	Metazoa	913645	accession_api
Endocarpon_pusillum_Z07020	Fungi	1263415	accession_api
Engystomops_pustulosus	Metazoa	76066	accession_api
Enoplus_brevis	Metazoa	57292	metazoa_metadata
Ensete_ventricosum	angiosperms	4639	accession_api
Enteropsectra_breve	Fungi	1912989	accession_api
Enterospora_canceri	Fungi	1081671	accession_api
Entomophthora_muscae	Fungi	34485	accession_api
Entomortierella_beljakovae	Fungi	979673	accession_api
Entomortierella_chlamydospora	Fungi	101097	accession_api
Entomortierella_lignicola	Fungi	979712	accession_api
Entonomenia_tricarinata	Metazoa	1541969	metazoa_metadata
Entophlyctis_helioformis	Fungi	281842	accession_api
Entophlyctis_luteolus	Fungi	109932	accession_api
Eoacmaea_pustulata	Metazoa	2494650	metazoa_metadata
Eocyzicus_sp._MCZ_IZ_50104	Metazoa	1930652	metazoa_metadata
Eoleptestheria_cf._ticinensis_MCZ_IZ_50108	Metazoa	1930653	metazoa_metadata
Eoperipatus_totoro	Metazoa	1385931	metazoa_metadata
Eosentomon_sakura	Metazoa	289450	metazoa_metadata
Ephemerocybe_angulata	Fungi	980116	accession_api
Ephydatia_muelleri	Metazoa	6052	accession_api
