Species	Group	TaxID	Source
ASG261	Asgard		unresolved
ASG262	Asgard		unresolved
ASG263	Asgard		unresolved
ASG264	Asgard		unresolved
ASG265	Asgard		unresolved
ASG266	Asgard		unresolved
ASG267	Asgard		unresolved
ASG268	Asgard		unresolved
ASG269	Asgard		unresolved
ASG270	Asgard		unresolved
ASG271	Asgard		unresolved
ASG272	Asgard		unresolved
ASG273	Asgard		unresolved
ASG274	Asgard		unresolved
ASG275	Asgard		unresolved
ASG276	Asgard		unresolved
ASG277	Asgard		unresolved
ASG278	Asgard		unresolved
ASG279	Asgard		unresolved
ASG280	Asgard		unresolved
ASG281	Asgard		unresolved
ASG282	Asgard		unresolved
ASG283	Asgard		unresolved
ASG284	Asgard		unresolved
ASG285	Asgard		unresolved
ASG286	Asgard		unresolved
ASG287	Asgard		unresolved
ASG288	Asgard		unresolved
ASG289	Asgard		unresolved
ASG290	Asgard		unresolved
ASG291	Asgard		unresolved
ASG292	Asgard		unresolved
ASG293	Asgard		unresolved
ASG294	Asgard		unresolved
ASG295	Asgard		unresolved
ASG296	Asgard		unresolved
ASG297	Asgard		unresolved
ASG298	Asgard		unresolved
ASG299	Asgard		unresolved
ASG300	Asgard		unresolved
ASG301	Asgard		unresolved
ASG302	Asgard		unresolved
ASG303	Asgard		unresolved
ASG304	Asgard		unresolved
ASG305	Asgard		unresolved
ASG306	Asgard		unresolved
ASG307	Asgard		unresolved
ASG308	Asgard		unresolved
ASG309	Asgard		unresolved
ASG310	Asgard		unresolved
ASG311	Asgard		unresolved
ASG312	Asgard		unresolved
ASG313	Asgard		unresolved
ASG314	Asgard		unresolved
ASG315	Asgard		unresolved
ASG316	Asgard		unresolved
ASG317	Asgard		unresolved
ASG318	Asgard		unresolved
ASG319	Asgard		unresolved
ASG320	Asgard		unresolved
ASG321	Asgard		unresolved
ASG322	Asgard		unresolved
ASG323	Asgard		unresolved
ASG324	Asgard		unresolved
ASG325	Asgard		unresolved
ASG326	Asgard		unresolved
ASG327	Asgard		unresolved
ASG328	Asgard		unresolved
ASG329	Asgard		unresolved
ASG330	Asgard		unresolved
ASG331	Asgard		unresolved
ASG332	Asgard		unresolved
ASG333	Asgard		unresolved
ASG334	Asgard		unresolved
ASG335	Asgard		unresolved
ASG336	Asgard		unresolved
ASG338	Asgard		unresolved
ASG339	Asgard		unresolved
ASG340	Asgard		unresolved
ASG341	Asgard		unresolved
ASG342	Asgard		unresolved
ASG347	Asgard		unresolved
ASG349	Asgard		unresolved
ASG354	Asgard		unresolved
ASG361	Asgard		unresolved
ASG364	Asgard		unresolved
ASG366	Asgard		unresolved
ASG387	Asgard		unresolved
ASG391	Asgard		unresolved
ASG392	Asgard		unresolved
ASG393	Asgard		unresolved
ASG394	Asgard		unresolved
ASG395	Asgard		unresolved
ASG396	Asgard		unresolved
ASG397	Asgard		unresolved
ASG398	Asgard		unresolved
ASG399	Asgard		unresolved
ASG400	Asgard		unresolved
ASG401	Asgard		unresolved
ASG402	Asgard		unresolved
ASG403	Asgard		unresolved
ASG404	Asgard		unresolved
ASG405	Asgard		unresolved
ASG406	Asgard		unresolved
ASG407	Asgard		unresolved
ASG408	Asgard		unresolved
ASG409	Asgard		unresolved
ASG410	Asgard		unresolved
ASG411	Asgard		unresolved
ASG412	Asgard		unresolved
ASG417	Asgard		unresolved
ASG418	Asgard		unresolved
ASG419	Asgard		unresolved
ASG420	Asgard		unresolved
ASG421	Asgard		unresolved
ASG422	Asgard		unresolved
ASG423	Asgard		unresolved
ASG424	Asgard		unresolved
ASG425	Asgard		unresolved
ASG426	Asgard		unresolved
ASG427	Asgard		unresolved
ASG428	Asgard		unresolved
ASG429	Asgard		unresolved
ASG430	Asgard		unresolved
ASG431	Asgard		unresolved
ASG432	Asgard		unresolved
ASG433	Asgard		unresolved
ASG434	Asgard		unresolved
ASG435	Asgard		unresolved
ASG436	Asgard		unresolved
ASG437	Asgard		unresolved
ASG438	Asgard		unresolved
ASG439	Asgard		unresolved
ASG440	Asgard		unresolved
ASG441	Asgard		unresolved
ASG442	Asgard		unresolved
ASG443	Asgard		unresolved
ASG444	Asgard		unresolved
ASG445	Asgard		unresolved
ASG446	Asgard		unresolved
ASG447	Asgard		unresolved
ASG448	Asgard		unresolved
ASG449	Asgard		unresolved
ASG450	Asgard		unresolved
ASG451	Asgard		unresolved
ASG452	Asgard		unresolved
ASG453	Asgard		unresolved
ASG454	Asgard		unresolved
ASG455	Asgard		unresolved
ASG456	Asgard		unresolved
ASG457	Asgard		unresolved
ASG458	Asgard		unresolved
ASG467	Asgard		unresolved
ASG468	Asgard		unresolved
ASG469	Asgard		unresolved
ASG470	Asgard		unresolved
ASG472	Asgard		unresolved
ASG473	Asgard		unresolved
ASG474	Asgard		unresolved
ASG475	Asgard		unresolved
ASG476	Asgard		unresolved
ASG477	Asgard		unresolved
ASG478	Asgard		unresolved
ASG479	Asgard		unresolved
ASG480	Asgard		unresolved
ASG481	Asgard		unresolved
ASG482	Asgard		unresolved
ASG483	Asgard		unresolved
ASG484	Asgard		unresolved
ASG485	Asgard		unresolved
ASG486	Asgard		unresolved
ASG487	Asgard		unresolved
ASG488	Asgard		unresolved
ASG489	Asgard		unresolved
ASG490	Asgard		unresolved
ASG491	Asgard		unresolved
ASG492	Asgard		unresolved
ASG493	Asgard		unresolved
ASG494	Asgard		unresolved
ASG495	Asgard		unresolved
ASG496	Asgard		unresolved
ASG497	Asgard		unresolved
ASG498	Asgard		unresolved
ASG499	Asgard		unresolved
ASG500	Asgard		unresolved
ASG501	Asgard		unresolved
ASG502	Asgard		unresolved
ASG503	Asgard		unresolved
ASG504	Asgard		unresolved
ASG505	Asgard		unresolved
ASG506	Asgard		unresolved
ASG507	Asgard		unresolved
ASG508	Asgard		unresolved
ASG509	Asgard		unresolved
ASG510	Asgard		unresolved
ASG511	Asgard		unresolved
ASG512	Asgard		unresolved
ASG513	Asgard		unresolved
ASG514	Asgard		unresolved
ASG515	Asgard		unresolved
ASG516	Asgard		unresolved
ASG517	Asgard		unresolved
ASG518	Asgard		unresolved
ASG519	Asgard		unresolved
ASG520	Asgard		unresolved
ASG521	Asgard		unresolved
ASG523	Asgard		unresolved
ASG524	Asgard		unresolved
ASG525	Asgard		unresolved
ASG526	Asgard		unresolved
ASG528	Asgard		unresolved
ASG529	Asgard		unresolved
Aaosphaeria_arxii_CBS_175.79	Fungi	1450172	accession_api
Abarenicola_pacifica	Metazoa	273052	metazoa_metadata
Abeliophyllum_distichum	angiosperms	126358	accession_api
Abeoforma_whisleri	Protists	749232	name_search_full_name
Abortiporus_biennis	Fungi	137743	accession_api
Abrus_precatorius	angiosperms	3816	accession_api
Absidia_cylindrospora	Fungi	213030	accession_api
Absidia_glauca	Fungi	4829	accession_api
Absidia_repens	Fungi	90262	accession_api
Acacia_confusa	angiosperms	3809	accession_api
Acacia_crassicarpa	angiosperms	499986	accession_api
Acacia_pycnantha	angiosperms	880440	accession_api
Acanthochitona_crinita	Metazoa	126420	metazoa_metadata
Acanthoeca_spectabilis	Protists	81533	name_search_full_name
Acanthoecidae_sp_10tr	Protists		unresolved
Acanthopleura_gemmata	Metazoa	167016	accession_api
Acanthopleura_granulata	Metazoa	61363	accession_api
Acaromyces_ingoldii	Fungi	215250	accession_api
Acaulospora_colombiana	Fungi	27376	accession_api
Acaulospora_morrowiae	Fungi	94023	accession_api
Acephala_macrosclerotiorum	Fungi	886606	accession_api
Acer_negundo	angiosperms	4023	accession_api
Acer_pseudosieboldianum	angiosperms	47968	name_search_full_name
Acer_saccharum	angiosperms	4024	accession_api
Acer_truncatum	angiosperms	47965	name_search_full_name
Acer_yangbiense	angiosperms	1000413	accession_api
Acerentomon_sp._AD-2013	Metazoa	1323558	metazoa_metadata
Acetes_chinensis	Metazoa	439396	metazoa_metadata
Achaetomium_macrosporum	Fungi	79813	accession_api
Achatina/Lissachatina_immaculata	Metazoa	2605667	accession_api
Achlya_hypogyna	Protists	1202772	accession_api
Acipenser_ruthenus	Metazoa	7906	accession_api
Acopauropus_ornatus	Metazoa	1820145	metazoa_metadata
Acorus_calamus	angiosperms	4465	accession_api
Acorus_gramineus	angiosperms	55184	accession_api
Acrobeloides_nanus	Metazoa	290746	accession_api
Acrodontium_crateriforme	Fungi	150365	accession_api
Acropsopilio_neozelandiae	Metazoa	1954383	metazoa_metadata
Actinia_tenebrosa	Metazoa	6105	accession_api
Actinidia_arguta	angiosperms	64478	name_search_full_name
Actinidia_chinensis	angiosperms	3625	accession_api
Actinidia_cylindrica	angiosperms	165704	name_search_full_name
Actinidia_deliciosa	angiosperms	3627	accession_api
Actinidia_eriantha	angiosperms	165200	accession_api
Actinidia_hemsleyana	angiosperms	165707	name_search_full_name
Actinidia_latifolia	angiosperms	165711	name_search_full_name
Actinidia_macrosperma	angiosperms	165712	name_search_full_name
Actinidia_polygama	angiosperms	64480	name_search_full_name
Actinidia_rufa	angiosperms	165716	name_search_full_name
Actinidia_zhejiangensis	angiosperms	165720	name_search_full_name
Actinomortierella_ambigua	Fungi	1343610	accession_api
Actinomortierella_wolfii	Fungi	90253	accession_api
Acyrthosiphon_pisum	Metazoa	7029	accession_api
Adiantum_capillusveneris	pteridophyte	13818	accession_api
