Species	Group	TaxID	TaxName	superkingdom	kingdom	phylum	class	order	family	genus
Didymosphaeria_variabile	Fungi	1932322	Didymosphaeria variabile	Eukaryota	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Didymosphaeria
Digitaria_exilis	angiosperms	1010633	Digitaria exilis	Eukaryota	Viridiplantae	Streptophyta	Magnoliopsida	Poales	Poaceae	Digitaria
Dillenia_turbinata	angiosperms	194707	Dillenia turbinata	Eukaryota	Viridiplantae	Streptophyta	Magnoliopsida	Dilleniales	Dilleniaceae	Dillenia
Dimargaris_cristalligena	Fungi	215637	Dimargaris cristalligena	Eukaryota	Fungi	Kickxellomycota	Dimargaritomycetes	Dimargaritales	Dimargaritaceae	Dimargaris
Dimargaris_verticillata	Fungi	2761393	Dimargaris verticillata	Eukaryota	Fungi	Kickxellomycota	Dimargaritomycetes	Dimargaritales	Dimargaritaceae	Dimargaris
Dimargaris_xerosporica	Fungi	2761399	Dimargaris xerosporica	Eukaryota	Fungi	Kickxellomycota	Dimargaritomycetes	Dimargaritales	Dimargaritaceae	Dimargaris
Dimorphilus_gyrociliatus	Metazoa	2664684	Dimorphilus gyrociliatus	Eukaryota	Metazoa	Annelida	Polychaeta		Dinophilidae	Dimorphilus
Dinochytrium_kinnereticum	Fungi	1774096	Dinochytrium kinnereticum	Eukaryota	Fungi	Chytridiomycota	Chytridiomycetes	Chytridiales	Chytridiaceae	Dinochytrium
Dinothrombium_tinctorium	Metazoa	1965070	Dinothrombium tinctorium	Eukaryota	Metazoa	Arthropoda	Arachnida	Trombidiformes	Trombidiidae	Dinothrombium
Dionaea_muscipula	angiosperms	4362	Dionaea muscipula	Eukaryota	Viridiplantae	Streptophyta	Magnoliopsida	Caryophyllales	Droseraceae	Dionaea
Diopisthoporus_longitubus	Metazoa	996724	Diopisthoporus longitubus	Eukaryota	Metazoa	Xenacoelomorpha		Acoela	Diopisthoporidae	Diopisthoporus
Dioscorea_cayenensis	angiosperms	55577	Dioscorea cayenensis subsp. rotundata	Eukaryota	Viridiplantae	Streptophyta	Magnoliopsida	Dioscoreales	Dioscoreaceae	Dioscorea
Dioscorea_sansibarensis	angiosperms	55578	Dioscorea sansibarensis	Eukaryota	Viridiplantae	Streptophyta	Magnoliopsida	Dioscoreales	Dioscoreaceae	Dioscorea
Dioscorea_zingiberensis	angiosperms	325984	Dioscorea zingiberensis	Eukaryota	Viridiplantae	Streptophyta	Magnoliopsida	Dioscoreales	Dioscoreaceae	Dioscorea
Diospyros_lotus	angiosperms	55363	Diospyros lotus	Eukaryota	Viridiplantae	Streptophyta	Magnoliopsida	Ericales	Ebenaceae	Diospyros
Dioszegia_hungarica	Fungi	4972	Dioszegia hungarica	Eukaryota	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Dioszegia
Diphasiastrum_complanatum	lycophytes	34168	Diphasiastrum complanatum	Eukaryota	Viridiplantae	Streptophyta	Lycopodiopsida	Lycopodiales	Lycopodiaceae	Diphasiastrum
Diplocarpon_coronariae	Fungi	2795749	Diplocarpon coronariae	Eukaryota	Fungi	Ascomycota	Leotiomycetes	Helotiales	Drepanopezizaceae	Diplocarpon
Diplocarpon_mali	Fungi	946123	Diplocarpon mali	Eukaryota	Fungi	Ascomycota	Leotiomycetes	Helotiales	Drepanopezizaceae	Diplocarpon
Diplocarpon_rosae	Fungi	946125	Diplocarpon rosae	Eukaryota	Fungi	Ascomycota	Leotiomycetes	Helotiales	Drepanopezizaceae	Diplocarpon
Diplodia_corticola	Fungi	236234	Diplodia corticola	Eukaryota	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Diplodia
Diplodia_intermedia	Fungi	856260	Diplodia intermedia	Eukaryota	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Diplodia
Diplodia_sapinea	Fungi	66738	Diplodia sapinea	Eukaryota	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Diplodia
Diplodia_seriata	Fungi	420778	Diplodia seriata	Eukaryota	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Diplodia
Diplodiscus_trichospermus	angiosperms	248822	Pityranthe trichosperma	Eukaryota	Viridiplantae	Streptophyta	Magnoliopsida	Malvales	Malvaceae	Pityranthe
Diplogasteroides_magnus	Metazoa	560213	Diplogasteroides magnus	Eukaryota	Metazoa	Nematoda	Chromadorea	Rhabditida	Diplogasteroididae	Diplogasteroides
Diplogelasinospora_grovesii	Fungi	303347	Diplogelasinospora grovesii	Eukaryota	Fungi	Ascomycota	Sordariomycetes	Sordariales	Diplogelasinosporaceae	Diplogelasinospora
Diploscapter_pachys	Metazoa	2018661	Diploscapter pachys	Eukaryota	Metazoa	Nematoda	Chromadorea	Rhabditida	Rhabditidae	Diploscapter
Diploschistes_diacapsis	Fungi	150877	Diploschistes diacapsis	Eukaryota	Fungi	Ascomycota	Lecanoromycetes	Ostropales	Graphidaceae	Diploschistes
Dipodascopsis_tothii	Fungi	44089	Neoaidaea tothii	Eukaryota	Fungi	Ascomycota	Lipomycetes	Lipomycetales	Lipomycetaceae	Neoaidaea
Dipsacomyces_acuminosporus	Fungi	4866	Dipsacomyces acuminosporus	Eukaryota	Fungi	Kickxellomycota	Kickxellomycetes	Kickxellales	Kickxellaceae	Dipsacomyces
Dipteronia_dyeriana	angiosperms	168575	Dipteronia dyeriana	Eukaryota	Viridiplantae	Streptophyta	Magnoliopsida	Sapindales	Sapindaceae	Dipteronia
Dipteronia_sinensis	angiosperms	43782	Dipteronia sinensis	Eukaryota	Viridiplantae	Streptophyta	Magnoliopsida	Sapindales	Sapindaceae	Dipteronia
Discosporangium_mesarthrocarpum	Protists	376270	Discosporangium mesarthrocarpum	Eukaryota			Phaeophyceae	Sphacelariales	Discosporangiaceae	Discosporangium
Discostella_pseudostelligera	Protists	259834	Discostella pseudostelligera	Eukaryota		Bacillariophyta	Thalassiosirophyceae	Thalassiosirales	Thalassiosiraceae	Discostella
Discula_destructiva	Fungi	148313	Discula destructiva	Eukaryota	Fungi	Ascomycota	Sordariomycetes	Diaporthales	Gnomoniaceae	Discula
Dispira_parvispora	Fungi	1520584	Dispira parvispora	Eukaryota	Fungi	Kickxellomycota	Dimargaritomycetes	Dimargaritales	Dimargaritaceae	Dispira
Dispira_simplex	Fungi	2789359	Dispira simplex	Eukaryota	Fungi	Kickxellomycota	Dimargaritomycetes	Dimargaritales	Dimargaritaceae	Dispira
Dissoconium_aciculare_CBS_342.82	Fungi	1314786	Dissoconium aciculare CBS 342.82	Eukaryota	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Dissoconiaceae	Dissoconium
Dissophora_globulifera	Fungi	979702	Dissophora globulifera	Eukaryota	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Dissophora
Dissophora_ornata	Fungi	979620	Dissophora ornata	Eukaryota	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Dissophora
Diurodrilus_subterraneus	Metazoa	1318637	Diurodrilus subterraneus	Eukaryota	Metazoa	Annelida	Polychaeta	Eunicida	Diurodrilidae	Diurodrilus
Diuronotus_aspetos	Metazoa	1681188	Diuronotus aspetos	Eukaryota	Metazoa	Gastrotricha		Chaetonotida	Muselliferidae	Diuronotus
Diutina_catenulata	Fungi	45537	Diutina catenulata	Eukaryota	Fungi	Ascomycota	Pichiomycetes	Serinales	Debaryomycetaceae	Diutina
Diutina_rugosa	Fungi	5481	Diutina rugosa	Eukaryota	Fungi	Ascomycota	Pichiomycetes	Serinales	Debaryomycetaceae	Diutina
Diversispora_eburnea	Fungi	1213867	Diversispora eburnea	Eukaryota	Fungi	Glomeromycota	Glomeromycetes	Diversisporales	Diversisporaceae	Diversispora
Diversispora_epigaea	Fungi	1348612	Diversispora epigaea	Eukaryota	Fungi	Glomeromycota	Glomeromycetes	Diversisporales	Diversisporaceae	Diversispora
Dorcoceras_hygrometricum	angiosperms	472368	Dorcoceras hygrometricum	Eukaryota	Viridiplantae	Streptophyta	Magnoliopsida	Lamiales	Gesneriaceae	Dorcoceras
Dorylaimopsis_sp._T63	Metazoa	2879815	Dorylaimopsis sp. T63	Eukaryota	Metazoa	Nematoda	Chromadorea	Araeolaimida	Comesomatidae	Dorylaimopsis
Dothidotthia_symphoricarpi_CBS_119687	Fungi	1392245	Dothidotthia symphoricarpi CBS 119687	Eukaryota	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Dothidotthiaceae	Dothidotthia
Dovyalis_caffra	angiosperms	77055	Dovyalis caffra	Eukaryota	Viridiplantae	Streptophyta	Magnoliopsida	Malpighiales	Salicaceae	Dovyalis
Drawida_sp._KH-2017	Metazoa	1963188	Drawida sp. KH-2017	Eukaryota	Metazoa	Annelida	Clitellata	Moniligastrida	Moniligastridae	Drawida
Drechmeria_coniospora	Fungi	98403	Drechmeria coniospora	Eukaryota	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Ophiocordycipitaceae	Drechmeria
Drechslerella_stenobrocha_248	Fungi	1043628	Drechslerella stenobrocha 248	Eukaryota	Fungi	Ascomycota	Orbiliomycetes	Orbiliales	Orbiliaceae	Drechslerella
Dreissena_rostriformis	Metazoa	427924	Dreissena rostriformis bugensis	Eukaryota	Metazoa	Mollusca	Bivalvia	Myida	Dreissenidae	Dreissena
Drepanopeziza_brunnea_f._sp._'multigermtubi'	Fungi	698441	Drepanopeziza brunnea f. sp. 'multigermtubi'	Eukaryota	Fungi	Ascomycota	Leotiomycetes	Helotiales	Drepanopezizaceae	Drepanopeziza
Dromaius_novaehollandiae	Metazoa	8790	Dromaius novaehollandiae	Eukaryota	Metazoa	Chordata	Aves	Casuariiformes	Dromaiidae	Dromaius
Dromiciops_gliroides	Metazoa	33562	Dromiciops gliroides	Eukaryota	Metazoa	Chordata	Mammalia	Microbiotheria	Microbiotheriidae	Dromiciops
Drosera_capensis	angiosperms	4366	Drosera capensis	Eukaryota	Viridiplantae	Streptophyta	Magnoliopsida	Caryophyllales	Droseraceae	Drosera
Drosera_rotundifolia	angiosperms	173423	Drosera rotundifolia	Eukaryota	Viridiplantae	Streptophyta	Magnoliopsida	Caryophyllales	Droseraceae	Drosera
Drosophila_melanogaster	Metazoa	7227	Drosophila melanogaster	Eukaryota	Metazoa	Arthropoda	Insecta	Diptera	Drosophilidae	Drosophila
Drosophila_pseudoobscura	Metazoa	7237	Drosophila pseudoobscura	Eukaryota	Metazoa	Arthropoda	Insecta	Diptera	Drosophilidae	Drosophila
Dugesia_japonica	Metazoa	6161	Dugesia japonica	Eukaryota	Metazoa	Platyhelminthes		Tricladida	Dugesiidae	Dugesia
Dugesia_ryukyuensis	Metazoa	79738	Dugesia ryukyuensis	Eukaryota	Metazoa	Platyhelminthes		Tricladida	Dugesiidae	Dugesia
Dunaliella_salina	chlorophyta	3046	Dunaliella salina	Eukaryota	Viridiplantae	Chlorophyta	Chlorophyceae	Chlamydomonadales	Dunaliellaceae	Dunaliella
Durio_zibethinus	angiosperms	66656	Durio zibethinus	Eukaryota	Viridiplantae	Streptophyta	Magnoliopsida	Malvales	Malvaceae	Durio
Durotheca_rogersii	Fungi	419775	Durotheca rogersii	Eukaryota	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae	Durotheca
Durusdinium_trenchii	Protists	1381693	Durusdinium trenchii	Eukaryota			Dinophyceae	Suessiales	Symbiodiniaceae	Durusdinium
Earliella_scabrosa	Fungi	2478900	Earliella scabrosa	Eukaryota	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Earliella
Echeneis_naucrates	Metazoa	173247	Echeneis naucrates	Eukaryota	Metazoa	Chordata	Actinopteri	Carangiformes	Echeneidae	Echeneis
Echiniscoides_sigismundi	Metazoa	500494	Echiniscoides sigismundi	Eukaryota	Metazoa	Tardigrada	Heterotardigrada	Echiniscoidea	Echiniscoididae	Echiniscoides
Echiniscus_testudo	Metazoa	399800	Echiniscus testudo	Eukaryota	Metazoa	Tardigrada	Heterotardigrada	Echiniscoidea	Echiniscidae	Echiniscus
Echinoderes_ohtsukai	Metazoa	1755667	Echinoderes ohtsukai	Eukaryota	Metazoa	Kinorhyncha	Cyclorhagida		Echinoderidae	Echinoderes
Echinogammarus_berilloni	Metazoa	889313	Echinogammarus berilloni	Eukaryota	Metazoa	Arthropoda	Malacostraca	Amphipoda	Gammaridae	Echinogammarus
Echinoplana_celerrima	Metazoa	983673	Echinoplana celerrima	Eukaryota	Metazoa	Platyhelminthes		Polycladida	Gnesiocerotidae	Echinoplana
Echria_macrotheca	Fungi	438768	Echria macrotheca	Eukaryota	Fungi	Ascomycota	Sordariomycetes	Sordariales	Schizotheciaceae	Echria
Ectocarpus_fasciculatus	Protists	43935	Ectocarpus fasciculatus	Eukaryota			Phaeophyceae	Ectocarpales	Ectocarpaceae	Ectocarpus
Ectocarpus_siliculosus	Protists	2880	Ectocarpus siliculosus	Eukaryota			Phaeophyceae	Ectocarpales	Ectocarpaceae	Ectocarpus
Ectopsocus_briggsi	Metazoa	322492	Ectopsocus briggsi	Eukaryota	Metazoa	Arthropoda	Insecta	Psocodea	Ectopsocidae	Ectopsocus
Edaphochlamys_debaryana	chlorophyta	47281	Edaphochlamys debaryana	Eukaryota	Viridiplantae	Chlorophyta	Chlorophyceae	Chlamydomonadales		Edaphochlamys
Edhazardia_aedis_USNM_41457	Fungi	1003232	Edhazardia aedis USNM 41457	Eukaryota	Fungi	Microsporidia			Culicosporidae	Edhazardia
Eigenmannia_virescens	Metazoa	749526	Eigenmannia virescens	Eukaryota	Metazoa	Chordata	Actinopteri	Gymnotiformes	Sternopygidae	Eigenmannia
Eimeria_acervulina	Protists	5801	Eimeria acervulina	Eukaryota		Apicomplexa	Conoidasida	Eucoccidiorida	Eimeriidae	Eimeria
Eimeria_brunetti	Protists	51314	Eimeria brunetti	Eukaryota		Apicomplexa	Conoidasida	Eucoccidiorida	Eimeriidae	Eimeria
Eimeria_flavescens	Protists	471277	Eimeria flavescens	Eukaryota		Apicomplexa	Conoidasida	Eucoccidiorida	Eimeriidae	Eimeria
Eimeria_intestinalis	Protists	471278	Eimeria intestinalis	Eukaryota		Apicomplexa	Conoidasida	Eucoccidiorida	Eimeriidae	Eimeria
Eimeria_magna	Protists	471282	Eimeria magna	Eukaryota		Apicomplexa	Conoidasida	Eucoccidiorida	Eimeriidae	Eimeria
Eimeria_maxima	Protists	5804	Eimeria maxima	Eukaryota		Apicomplexa	Conoidasida	Eucoccidiorida	Eimeriidae	Eimeria
Eimeria_media	Protists	471279	Eimeria media	Eukaryota		Apicomplexa	Conoidasida	Eucoccidiorida	Eimeriidae	Eimeria
Eimeria_mitis	Protists	44415	Eimeria mitis	Eukaryota		Apicomplexa	Conoidasida	Eucoccidiorida	Eimeriidae	Eimeria
Eimeria_necatrix	Protists	51315	Eimeria necatrix	Eukaryota		Apicomplexa	Conoidasida	Eucoccidiorida	Eimeriidae	Eimeria
Eimeria_stiedai	Protists	471275	Eimeria stiedae	Eukaryota		Apicomplexa	Conoidasida	Eucoccidiorida	Eimeriidae	Eimeria
Eimeria_tenella	Protists	5802	Eimeria tenella	Eukaryota		Apicomplexa	Conoidasida	Eucoccidiorida	Eimeriidae	Eimeria
Eisenia_andrei	Metazoa	168636	Eisenia andrei	Eukaryota	Metazoa	Annelida	Clitellata	Crassiclitellata	Lumbricidae	Eisenia
Elaeis_guineensis	angiosperms	51953	Elaeis guineensis	Eukaryota	Viridiplantae	Streptophyta	Magnoliopsida	Arecales	Arecaceae	Elaeis
Elaphomyces_granulatus	Fungi	519963	Elaphomyces granulatus	Eukaryota	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Elaphomycetaceae	Elaphomyces
