Species	Group	TaxID	TaxName	superkingdom	kingdom	phylum	class	order	family	genus
ASG001	Asgard									
ASG003	Asgard									
ASG004	Asgard									
ASG005	Asgard									
ASG006	Asgard									
ASG007	Asgard									
ASG008	Asgard									
ASG009	Asgard									
ASG010	Asgard									
ASG011	Asgard									
ASG012	Asgard									
ASG013	Asgard									
ASG014	Asgard									
ASG030	Asgard									
ASG031	Asgard									
ASG032	Asgard									
ASG033	Asgard									
ASG034	Asgard									
ASG035	Asgard									
ASG036	Asgard									
ASG037	Asgard									
ASG042	Asgard									
ASG043	Asgard									
ASG044	Asgard									
ASG045	Asgard									
ASG046	Asgard									
ASG047	Asgard									
ASG048	Asgard									
ASG049	Asgard									
ASG050	Asgard									
ASG051	Asgard									
ASG052	Asgard									
ASG053	Asgard									
ASG054	Asgard									
ASG055	Asgard									
ASG056	Asgard									
ASG057	Asgard									
ASG058	Asgard									
ASG059	Asgard									
ASG060	Asgard									
ASG061	Asgard									
ASG062	Asgard									
ASG063	Asgard									
ASG064	Asgard									
ASG065	Asgard									
ASG066	Asgard									
ASG067	Asgard									
ASG068	Asgard									
ASG069	Asgard									
ASG070	Asgard									
ASG071	Asgard									
ASG072	Asgard									
ASG073	Asgard									
ASG074	Asgard									
ASG075	Asgard									
ASG076	Asgard									
ASG077	Asgard									
ASG078	Asgard									
ASG079	Asgard									
ASG080	Asgard									
ASG081	Asgard									
ASG082	Asgard									
ASG083	Asgard									
ASG084	Asgard									
ASG085	Asgard									
ASG086	Asgard									
ASG087	Asgard									
ASG088	Asgard									
ASG089	Asgard									
ASG090	Asgard									
ASG091	Asgard									
ASG092	Asgard									
ASG093	Asgard									
ASG094	Asgard									
ASG095	Asgard									
ASG096	Asgard									
ASG097	Asgard									
ASG098	Asgard									
ASG099	Asgard									
ASG100	Asgard									
ASG101	Asgard									
ASG102	Asgard									
ASG103	Asgard									
ASG104	Asgard									
ASG105	Asgard									
ASG106	Asgard									
ASG107	Asgard									
ASG108	Asgard									
ASG109	Asgard									
ASG110	Asgard									
ASG111	Asgard									
ASG112	Asgard									
ASG113	Asgard									
ASG114	Asgard									
ASG115	Asgard									
ASG116	Asgard									
ASG117	Asgard									
ASG118	Asgard									
ASG119	Asgard									
ASG120	Asgard									
ASG121	Asgard									
ASG122	Asgard									
ASG123	Asgard									
ASG124	Asgard									
ASG125	Asgard									
ASG126	Asgard									
ASG127	Asgard									
ASG128	Asgard									
ASG129	Asgard									
ASG130	Asgard									
ASG131	Asgard									
ASG132	Asgard									
ASG133	Asgard									
ASG134	Asgard									
ASG135	Asgard									
ASG136	Asgard									
ASG137	Asgard									
ASG138	Asgard									
ASG139	Asgard									
ASG140	Asgard									
ASG141	Asgard									
ASG142	Asgard									
ASG143	Asgard									
ASG144	Asgard									
ASG145	Asgard									
ASG146	Asgard									
ASG147	Asgard									
ASG148	Asgard									
ASG149	Asgard									
ASG150	Asgard									
ASG151	Asgard									
ASG152	Asgard									
ASG153	Asgard									
ASG154	Asgard									
ASG155	Asgard									
ASG156	Asgard									
ASG157	Asgard									
ASG158	Asgard									
ASG159	Asgard									
ASG160	Asgard									
ASG161	Asgard									
ASG162	Asgard									
ASG163	Asgard									
ASG164	Asgard									
ASG165	Asgard									
ASG166	Asgard									
ASG167	Asgard									
ASG168	Asgard									
ASG169	Asgard									
ASG170	Asgard									
ASG171	Asgard									
ASG172	Asgard									
ASG173	Asgard									
ASG174	Asgard									
ASG175	Asgard									
ASG176	Asgard									
ASG177	Asgard									
ASG178	Asgard									
ASG179	Asgard									
ASG180	Asgard									
ASG181	Asgard									
ASG182	Asgard									
ASG183	Asgard									
ASG184	Asgard									
ASG185	Asgard									
ASG186	Asgard									
ASG187	Asgard									
ASG188	Asgard									
ASG189	Asgard									
ASG190	Asgard									
ASG191	Asgard									
ASG192	Asgard									
ASG193	Asgard									
ASG194	Asgard									
ASG195	Asgard									
ASG196	Asgard									
ASG197	Asgard									
ASG198	Asgard									
ASG199	Asgard									
ASG200	Asgard									
ASG201	Asgard									
ASG202	Asgard									
ASG203	Asgard									
ASG204	Asgard									
ASG205	Asgard									
ASG206	Asgard									
ASG207	Asgard									
ASG208	Asgard									
ASG209	Asgard									
ASG210	Asgard									
ASG232	Asgard									
ASG233	Asgard									
ASG235	Asgard									
ASG237	Asgard									
ASG242	Asgard									
ASG243	Asgard									
ASG244	Asgard									
ASG245	Asgard									
ASG246	Asgard									
ASG247	Asgard									
ASG249	Asgard									
ASG250	Asgard									
ASG251	Asgard									
ASG252	Asgard									
ASG253	Asgard									
ASG254	Asgard									
ASG255	Asgard									
ASG256	Asgard									
ASG257	Asgard									
ASG258	Asgard									
ASG259	Asgard									
ASG260	Asgard									
ASG261	Asgard									
ASG262	Asgard									
ASG263	Asgard									
ASG264	Asgard									
ASG265	Asgard									
ASG266	Asgard									
ASG267	Asgard									
ASG268	Asgard									
ASG269	Asgard									
ASG270	Asgard									
ASG271	Asgard									
ASG272	Asgard									
ASG273	Asgard									
ASG274	Asgard									
ASG275	Asgard									
ASG276	Asgard									
ASG277	Asgard									
ASG278	Asgard									
ASG279	Asgard									
ASG280	Asgard									
ASG281	Asgard									
ASG282	Asgard									
ASG283	Asgard									
ASG284	Asgard									
ASG285	Asgard									
ASG286	Asgard									
ASG287	Asgard									
ASG288	Asgard									
ASG289	Asgard									
ASG290	Asgard									
ASG291	Asgard									
ASG292	Asgard									
ASG293	Asgard									
ASG294	Asgard									
ASG295	Asgard									
ASG296	Asgard									
ASG297	Asgard									
ASG298	Asgard									
ASG299	Asgard									
ASG300	Asgard									
ASG301	Asgard									
ASG302	Asgard									
ASG303	Asgard									
ASG304	Asgard									
ASG305	Asgard									
ASG306	Asgard									
ASG307	Asgard									
ASG308	Asgard									
ASG309	Asgard									
ASG310	Asgard									
ASG311	Asgard									
ASG312	Asgard									
ASG313	Asgard									
ASG314	Asgard									
ASG315	Asgard									
ASG316	Asgard									
ASG317	Asgard									
ASG318	Asgard									
ASG319	Asgard									
ASG320	Asgard									
ASG321	Asgard									
ASG322	Asgard									
ASG323	Asgard									
ASG324	Asgard									
ASG325	Asgard									
ASG326	Asgard									
ASG327	Asgard									
ASG328	Asgard									
ASG329	Asgard									
ASG330	Asgard									
ASG331	Asgard									
ASG332	Asgard									
ASG333	Asgard									
ASG334	Asgard									
ASG335	Asgard									
ASG336	Asgard									
ASG338	Asgard									
ASG339	Asgard									
ASG340	Asgard									
ASG341	Asgard									
ASG342	Asgard									
ASG347	Asgard									
ASG349	Asgard									
ASG354	Asgard									
ASG361	Asgard									
ASG364	Asgard									
ASG366	Asgard									
ASG387	Asgard									
ASG391	Asgard									
ASG392	Asgard									
ASG393	Asgard									
ASG394	Asgard									
ASG395	Asgard									
ASG396	Asgard									
ASG397	Asgard									
ASG398	Asgard									
ASG399	Asgard									
ASG400	Asgard									
ASG401	Asgard									
ASG402	Asgard									
ASG403	Asgard									
ASG404	Asgard									
ASG405	Asgard									
ASG406	Asgard									
ASG407	Asgard									
ASG408	Asgard									
ASG409	Asgard									
ASG410	Asgard									
ASG411	Asgard									
ASG412	Asgard									
ASG417	Asgard									
ASG418	Asgard									
ASG419	Asgard									
ASG420	Asgard									
ASG421	Asgard									
ASG422	Asgard									
ASG423	Asgard									
ASG424	Asgard									
ASG425	Asgard									
ASG426	Asgard									
ASG427	Asgard									
ASG428	Asgard									
ASG429	Asgard									
ASG430	Asgard									
ASG431	Asgard									
ASG432	Asgard									
ASG433	Asgard									
ASG434	Asgard									
ASG435	Asgard									
ASG436	Asgard									
ASG437	Asgard									
ASG438	Asgard									
ASG439	Asgard									
ASG440	Asgard									
ASG441	Asgard									
ASG442	Asgard									
ASG443	Asgard									
ASG444	Asgard									
ASG445	Asgard									
ASG446	Asgard									
ASG447	Asgard									
ASG448	Asgard									
ASG449	Asgard									
ASG450	Asgard									
ASG451	Asgard									
ASG452	Asgard									
ASG453	Asgard									
ASG454	Asgard									
ASG455	Asgard									
ASG456	Asgard									
ASG457	Asgard									
ASG458	Asgard									
ASG467	Asgard									
ASG468	Asgard									
ASG469	Asgard									
ASG470	Asgard									
ASG472	Asgard									
ASG473	Asgard									
ASG474	Asgard									
ASG475	Asgard									
ASG476	Asgard									
ASG477	Asgard									
ASG478	Asgard									
ASG479	Asgard									
ASG480	Asgard									
ASG481	Asgard									
ASG482	Asgard									
ASG483	Asgard									
ASG484	Asgard									
ASG485	Asgard									
ASG486	Asgard									
ASG487	Asgard									
ASG488	Asgard									
ASG489	Asgard									
ASG490	Asgard									
ASG491	Asgard									
ASG492	Asgard									
ASG493	Asgard									
ASG494	Asgard									
ASG495	Asgard									
ASG496	Asgard									
ASG497	Asgard									
ASG498	Asgard									
ASG499	Asgard									
ASG500	Asgard									
ASG501	Asgard									
ASG502	Asgard									
ASG503	Asgard									
ASG504	Asgard									
ASG505	Asgard									
ASG506	Asgard									
ASG507	Asgard									
ASG508	Asgard									
ASG509	Asgard									
ASG510	Asgard									
ASG511	Asgard									
ASG512	Asgard									
ASG513	Asgard									
ASG514	Asgard									
ASG515	Asgard									
ASG516	Asgard									
ASG517	Asgard									
ASG518	Asgard									
ASG519	Asgard									
ASG520	Asgard									
ASG521	Asgard									
ASG523	Asgard									
ASG524	Asgard									
ASG525	Asgard									
ASG526	Asgard									
ASG528	Asgard									
ASG529	Asgard									
Aaosphaeria_arxii_CBS_175.79	Fungi	1450172	Aaosphaeria arxii CBS 175.79	Eukaryota	Fungi	Ascomycota	Dothideomycetes	Pleosporales		Aaosphaeria
Abarenicola_pacifica	Metazoa	273052	Abarenicola pacifica	Eukaryota	Metazoa	Annelida	Polychaeta		Arenicolidae	Abarenicola
Abeliophyllum_distichum	angiosperms	126358	Abeliophyllum distichum	Eukaryota	Viridiplantae	Streptophyta	Magnoliopsida	Lamiales	Oleaceae	Abeliophyllum
Abeoforma_whisleri	Protists	749232	Abeoforma whisleri	Eukaryota			Ichthyosporea	Ichthyophonida		Abeoforma
Abortiporus_biennis	Fungi	137743	Abortiporus biennis	Eukaryota	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Podoscyphaceae	Abortiporus
Abrus_precatorius	angiosperms	3816	Abrus precatorius	Eukaryota	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Abrus
Absidia_cylindrospora	Fungi	213030	Absidia cylindrospora	Eukaryota	Fungi	Mucoromycota	Mucoromycetes	Mucorales	Cunninghamellaceae	Absidia
Absidia_glauca	Fungi	4829	Absidia glauca	Eukaryota	Fungi	Mucoromycota	Mucoromycetes	Mucorales	Cunninghamellaceae	Absidia
Absidia_repens	Fungi	90262	Absidia repens	Eukaryota	Fungi	Mucoromycota	Mucoromycetes	Mucorales	Cunninghamellaceae	Absidia
Acacia_confusa	angiosperms	3809	Acacia confusa	Eukaryota	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Acacia
Acacia_crassicarpa	angiosperms	499986	Acacia crassicarpa	Eukaryota	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Acacia
Acacia_pycnantha	angiosperms	880440	Acacia pycnantha	Eukaryota	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Acacia
Acanthochitona_crinita	Metazoa	126420	Acanthochitona crinita	Eukaryota	Metazoa	Mollusca	Polyplacophora	Chitonida	Acanthochitonidae	Acanthochitona
Acanthoeca_spectabilis	Protists	81533	Acanthoeca spectabilis	Eukaryota			Choanoflagellata	Acanthoecida	Acanthoecidae	Acanthoeca
Acanthoecidae_sp_10tr	Protists									
Acanthopleura_gemmata	Metazoa	167016	Acanthopleura gemmata	Eukaryota	Metazoa	Mollusca	Polyplacophora	Chitonida	Chitonidae	Acanthopleura
Acanthopleura_granulata	Metazoa	61363	Acanthopleura granulata	Eukaryota	Metazoa	Mollusca	Polyplacophora	Chitonida	Chitonidae	Acanthopleura
Acaromyces_ingoldii	Fungi	215250	Acaromyces ingoldii	Eukaryota	Fungi	Basidiomycota	Exobasidiomycetes	Exobasidiales	Cryptobasidiaceae	Acaromyces
Acaulospora_colombiana	Fungi	27376	Acaulospora colombiana	Eukaryota	Fungi	Glomeromycota	Glomeromycetes	Diversisporales	Acaulosporaceae	Acaulospora
Acaulospora_morrowiae	Fungi	94023	Acaulospora morrowiae	Eukaryota	Fungi	Glomeromycota	Glomeromycetes	Diversisporales	Acaulosporaceae	Acaulospora
Acephala_macrosclerotiorum	Fungi	886606	Acephala macrosclerotiorum	Eukaryota	Fungi	Ascomycota	Leotiomycetes	Helotiales	Mollisiaceae	Acephala
Acer_negundo	angiosperms	4023	Acer negundo	Eukaryota	Viridiplantae	Streptophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer
Acer_pseudosieboldianum	angiosperms	47968	Acer pseudosieboldianum	Eukaryota	Viridiplantae	Streptophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer
Acer_saccharum	angiosperms	4024	Acer saccharum	Eukaryota	Viridiplantae	Streptophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer
Acer_truncatum	angiosperms	47965	Acer truncatum	Eukaryota	Viridiplantae	Streptophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer
Acer_yangbiense	angiosperms	1000413	Acer yangbiense	Eukaryota	Viridiplantae	Streptophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer
Acerentomon_sp._AD-2013	Metazoa	1323558	Acerentomon sp. AD-2013	Eukaryota	Metazoa	Arthropoda	Protura	Acerentomata	Acerentomidae	Acerentomon
Acetes_chinensis	Metazoa	439396	Acetes chinensis	Eukaryota	Metazoa	Arthropoda	Malacostraca	Decapoda	Sergestidae	Acetes
Achaetomium_macrosporum	Fungi	79813	Achaetomium macrosporum	Eukaryota	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Achaetomium
Achatina/Lissachatina_immaculata	Metazoa	2605667	Achatina immaculata	Eukaryota	Metazoa	Mollusca	Gastropoda	Stylommatophora	Achatinidae	Achatina
Achlya_hypogyna	Protists	1202772	Achlya hypogyna	Eukaryota		Oomycota	Saprolegniomycetes	Saprolegniales	Achlyaceae	Achlya
Acipenser_ruthenus	Metazoa	7906	Acipenser ruthenus	Eukaryota	Metazoa	Chordata	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser
Acopauropus_ornatus	Metazoa	1820145	Acopauropus ornatus	Eukaryota	Metazoa	Arthropoda	Pauropoda	Tetramerocerata	Eurypauropodidae	Acopauropus
Acorus_calamus	angiosperms	4465	Acorus calamus	Eukaryota	Viridiplantae	Streptophyta	Magnoliopsida	Acorales	Acoraceae	Acorus
Acorus_gramineus	angiosperms	55184	Acorus gramineus	Eukaryota	Viridiplantae	Streptophyta	Magnoliopsida	Acorales	Acoraceae	Acorus
Acrobeloides_nanus	Metazoa	290746	Acrobeloides nanus	Eukaryota	Metazoa	Nematoda	Chromadorea	Rhabditida	Cephalobidae	Acrobeloides
Acrodontium_crateriforme	Fungi	150365	Acrodontium crateriforme	Eukaryota	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Teratosphaeriaceae	Acrodontium
Acropsopilio_neozelandiae	Metazoa	1954383	Acropsopilio neozelandiae	Eukaryota	Metazoa	Arthropoda	Arachnida	Opiliones	Caddidae	Acropsopilio
Actinia_tenebrosa	Metazoa	6105	Actinia tenebrosa	Eukaryota	Metazoa	Cnidaria	Anthozoa	Actiniaria	Actiniidae	Actinia
Actinidia_arguta	angiosperms	64478	Actinidia arguta	Eukaryota	Viridiplantae	Streptophyta	Magnoliopsida	Ericales	Actinidiaceae	Actinidia
Actinidia_chinensis	angiosperms	3625	Actinidia chinensis	Eukaryota	Viridiplantae	Streptophyta	Magnoliopsida	Ericales	Actinidiaceae	Actinidia
Actinidia_cylindrica	angiosperms	165704	Actinidia cylindrica	Eukaryota	Viridiplantae	Streptophyta	Magnoliopsida	Ericales	Actinidiaceae	Actinidia
Actinidia_deliciosa	angiosperms	3627	Actinidia deliciosa	Eukaryota	Viridiplantae	Streptophyta	Magnoliopsida	Ericales	Actinidiaceae	Actinidia
Actinidia_eriantha	angiosperms	165200	Actinidia eriantha	Eukaryota	Viridiplantae	Streptophyta	Magnoliopsida	Ericales	Actinidiaceae	Actinidia
Actinidia_hemsleyana	angiosperms	165707	Actinidia hemsleyana	Eukaryota	Viridiplantae	Streptophyta	Magnoliopsida	Ericales	Actinidiaceae	Actinidia
Actinidia_latifolia	angiosperms	165711	Actinidia latifolia	Eukaryota	Viridiplantae	Streptophyta	Magnoliopsida	Ericales	Actinidiaceae	Actinidia
Actinidia_macrosperma	angiosperms	165712	Actinidia macrosperma	Eukaryota	Viridiplantae	Streptophyta	Magnoliopsida	Ericales	Actinidiaceae	Actinidia
Actinidia_polygama	angiosperms	64480	Actinidia polygama	Eukaryota	Viridiplantae	Streptophyta	Magnoliopsida	Ericales	Actinidiaceae	Actinidia
Actinidia_rufa	angiosperms	165716	Actinidia rufa	Eukaryota	Viridiplantae	Streptophyta	Magnoliopsida	Ericales	Actinidiaceae	Actinidia
Actinidia_zhejiangensis	angiosperms	165720	Actinidia zhejiangensis	Eukaryota	Viridiplantae	Streptophyta	Magnoliopsida	Ericales	Actinidiaceae	Actinidia
Actinomortierella_ambigua	Fungi	1343610	Actinomortierella ambigua	Eukaryota	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Actinomortierella
Actinomortierella_wolfii	Fungi	90253	Actinomortierella wolfii	Eukaryota	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Actinomortierella
Acyrthosiphon_pisum	Metazoa	7029	Acyrthosiphon pisum	Eukaryota	Metazoa	Arthropoda	Insecta	Hemiptera	Aphididae	Acyrthosiphon
Adiantum_capillusveneris	pteridophyte	13818	Adiantum capillus-veneris	Eukaryota	Viridiplantae	Streptophyta	Polypodiopsida	Polypodiales	Pteridaceae	Adiantum
Adineta_vaga	Metazoa	104782	Adineta vaga	Eukaryota	Metazoa	Rotifera	Eurotatoria	Adinetida	Adinetidae	Adineta
Aedes_aegypti	Metazoa	7159	Aedes aegypti	Eukaryota	Metazoa	Arthropoda	Insecta	Diptera	Culicidae	Aedes
Aegilops_comosa	angiosperms	4485	Aegilops comosa	Eukaryota	Viridiplantae	Streptophyta	Magnoliopsida	Poales	Poaceae	Aegilops
Aegilops_geniculata	angiosperms	130459	Aegilops geniculata	Eukaryota	Viridiplantae	Streptophyta	Magnoliopsida	Poales	Poaceae	Aegilops
Aegilops_speltoides	angiosperms	4573	Aegilops speltoides	Eukaryota	Viridiplantae	Streptophyta	Magnoliopsida	Poales	Poaceae	Aegilops
Aegilops_tauschii	angiosperms	200361	Aegilops tauschii subsp. strangulata	Eukaryota	Viridiplantae	Streptophyta	Magnoliopsida	Poales	Poaceae	Aegilops
Aegista_chejuensis	Metazoa	1399158	Aegista chejuensis	Eukaryota	Metazoa	Mollusca	Gastropoda	Stylommatophora	Camaenidae	Aegista
Aeolosoma_sp.	Metazoa	55817	Aeolosoma sp.	Eukaryota	Metazoa	Annelida	Clitellata	Crassiclitellata	Aeolosomatidae	Aeolosoma
Agaricus_bisporus_var._bisporus_H97	Fungi	936046	Agaricus bisporus var. bisporus H97	Eukaryota	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus
Agarophyton_chilense	Rhodophyta	2510777	Agarophyton chilense	Eukaryota		Rhodophyta	Florideophyceae	Gracilariales	Gracilariaceae	Agarophyton
Agathotanais_misakiensis	Metazoa	2823062	Agathotanais misakiensis	Eukaryota	Metazoa	Arthropoda	Malacostraca	Tanaidacea	Agathotanaidae	Agathotanais
Ageratina_adenophora	angiosperms	176616	Ageratina adenophora	Eukaryota	Viridiplantae	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Ageratina
Agrocybe_chaxingu	Fungi	84603	Agrocybe chaxingu	Eukaryota	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agrocybaceae	Agrocybe
Agrocybe_pediades	Fungi	84607	Agrocybe pediades	Eukaryota	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agrocybaceae	Agrocybe
Agyrium_rufum	Fungi	443868	Agyrium rufum	Eukaryota	Fungi	Ascomycota	Lecanoromycetes	Pertusariales	Pertusariaceae	Agyrium
Ajuga_decumbens	angiosperms	167911	Ajuga decumbens	Eukaryota	Viridiplantae	Streptophyta	Magnoliopsida	Lamiales	Lamiaceae	Ajuga
Akanthomyces_lecanii_RCEF_1005	Fungi	1081108	Akanthomyces lecanii RCEF 1005	Eukaryota	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	Akanthomyces
Akanthomyces_muscarius	Fungi	2231603	Akanthomyces muscarius	Eukaryota	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	Akanthomyces
Akebia_trifoliata	angiosperms	155132	Akebia trifoliata	Eukaryota	Viridiplantae	Streptophyta	Magnoliopsida	Ranunculales	Lardizabalaceae	Akebia
Albizia_julibrissin	angiosperms	3813	Albizia julibrissin	Eukaryota	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Albizia
Alcyonidium_sp._KMK-2022	Metazoa	2969545	Alcyonidium sp. KMK-2022	Eukaryota	Metazoa	Bryozoa	Gymnolaemata	Ctenostomatida	Alcyonidiidae	Alcyonidium
Alderia_modesta	Metazoa	369574	Alderia modesta	Eukaryota	Metazoa	Mollusca	Gastropoda		Limapontiidae	Alderia
Alectoria_fallacina	Fungi	1903189	Alectoria fallacina	Eukaryota	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Parmeliaceae	Alectoria
Alexandromenia_crassa	Metazoa	1638916	Alexandromenia crassa	Eukaryota	Metazoa	Mollusca	Solenogastres	Cavibelonia	Amphimeniidae	Alexandromenia
Alinda_biplicata	Metazoa	1290020	Alinda biplicata	Eukaryota	Metazoa	Mollusca	Gastropoda	Stylommatophora	Clausiliidae	Alinda
Alipes_grandidieri	Metazoa	1257097	Alipes grandidieri	Eukaryota	Metazoa	Arthropoda	Chilopoda	Scolopendromorpha	Scolopendridae	Alipes
Alitta_virens	Metazoa	880429	Alitta virens	Eukaryota	Metazoa	Annelida	Polychaeta	Phyllodocida	Nereididae	Alitta
Alligator_sinensis	Metazoa	38654	Alligator sinensis	Eukaryota	Metazoa	Chordata		Crocodylia	Alligatoridae	Alligator
Allium_cepa	angiosperms	4679	Allium cepa	Eukaryota	Viridiplantae	Streptophyta	Magnoliopsida	Asparagales	Amaryllidaceae	Allium
Allium_fistulosum	angiosperms	35875	Allium fistulosum	Eukaryota	Viridiplantae	Streptophyta	Magnoliopsida	Asparagales	Amaryllidaceae	Allium
Allodorylaimus	Metazoa	288449	Allodorylaimus	Eukaryota	Metazoa	Nematoda	Enoplea	Dorylaimida	Qudsianematidae	
Allomyces_arbusculus	Fungi	64504	Allomyces arbusculus	Eukaryota	Fungi	Blastocladiomycota	Blastocladiomycetes	Blastocladiales	Blastocladiaceae	Allomyces
Allomyces_javanicus	Fungi	64505	Allomyces javanicus	Eukaryota	Fungi	Blastocladiomycota	Blastocladiomycetes	Blastocladiales	Blastocladiaceae	Allomyces
Allomyces_macrogynus_ATCC_38327	Fungi	578462	Allomyces macrogynus ATCC 38327	Eukaryota	Fungi	Blastocladiomycota	Blastocladiomycetes	Blastocladiales	Blastocladiaceae	Allomyces
Alnus_glutinosa	angiosperms	3517	Alnus glutinosa	Eukaryota	Viridiplantae	Streptophyta	Magnoliopsida	Fagales	Betulaceae	Alnus
Alopecurus_aequalis	angiosperms	114194	Alopecurus aequalis	Eukaryota	Viridiplantae	Streptophyta	Magnoliopsida	Poales	Poaceae	Alopecurus
Alsophila_spinulosa	pteridophyte	204586	Alsophila spinulosa	Eukaryota	Viridiplantae	Streptophyta	Polypodiopsida	Cyatheales	Cyatheaceae	Alsophila
Alternaria_alternata	Fungi	5599	Alternaria alternata	Eukaryota	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
Alternaria_arborescens	Fungi	156630	Alternaria arborescens	Eukaryota	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
Alternaria_arbusti	Fungi	232088	Alternaria arbusti	Eukaryota	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
Alternaria_atra	Fungi	119953	Alternaria atra	Eukaryota	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
Alternaria_burnsii	Fungi	1187904	Alternaria burnsii	Eukaryota	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
Alternaria_conjuncta	Fungi	181017	Alternaria conjuncta	Eukaryota	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
Alternaria_dauci	Fungi	48095	Alternaria dauci	Eukaryota	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
Alternaria_ethzedia	Fungi	181014	Alternaria ethzedia	Eukaryota	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
Alternaria_gaisen	Fungi	167740	Alternaria gaisen	Eukaryota	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
Alternaria_hordeiaustralica	Fungi	1187925	Alternaria hordeiaustralica	Eukaryota	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
Alternaria_incomplexa	Fungi	1187928	Alternaria incomplexa	Eukaryota	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
Alternaria_infectoria	Fungi	45303	Alternaria infectoria	Eukaryota	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
Alternaria_metachromatica	Fungi	283354	Alternaria metachromatica	Eukaryota	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
Alternaria_novae-zelandiae	Fungi	430562	Alternaria novae-zelandiae	Eukaryota	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
Alternaria_novaezelandiae	Fungi	430562	Alternaria novae-zelandiae	Eukaryota	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
Alternaria_panax	Fungi	48097	Alternaria panax	Eukaryota	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
Alternaria_postmessia	Fungi	1187938	Alternaria postmessia	Eukaryota	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
Alternaria_rosae	Fungi	1187941	Alternaria rosae	Eukaryota	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
Alternaria_triticimaculans	Fungi	297637	Alternaria triticimaculans	Eukaryota	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
Alternaria_ventricosa	Fungi	1187951	Alternaria ventricosa	Eukaryota	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
Alternaria_viburni	Fungi	566460	Alternaria viburni	Eukaryota	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
Alvinella_pompejana	Metazoa	6376	Alvinella pompejana	Eukaryota	Metazoa	Annelida	Polychaeta	Terebellida	Alvinellidae	Alvinella
Alyxoria_varia	Fungi	91480	Alyxoria varia	Eukaryota	Fungi	Ascomycota	Arthoniomycetes	Arthoniales	Lecanographaceae	Alyxoria
Amanita_brunnescens_Koide_BX004	Fungi	1457509	Amanita brunnescens Koide BX004	Eukaryota	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita
